run_key,dataset_name,seed,setting_id,setting_name,model_name,label_noise,missing_rate,imbalance_level,missing_mechanism,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
pc1__seed2__setting6__LightGBM__mnar,pc1,2,6,missing_imbalance,LightGBM,0.0,0.2,0.8,mnar,0.247,831,0,0.9280575539568345,0.5468400731558627,0.5645363408521303,0.9080209516597247,0.1778721346927349,0.10526315789473684
pc1__seed2__setting7__LogisticRegression__mnar,pc1,2,7,all_three,LogisticRegression,0.2,0.2,0.8,mnar,0.0335,789,166,0.9172661870503597,0.5166632798211745,0.5183427495291902,0.8967681448061889,0.057870480498084687,0.05263157894736842
pc1__seed2__setting7__LinearSVM__mnar,pc1,2,7,all_three,LinearSVM,0.2,0.2,0.8,mnar,0.025,789,166,0.9172661870503597,0.5166632798211745,0.5183427495291902,0.8967681448061889,0.057870480498084687,0.05263157894736842
pc1__seed2__setting7__KNN__mnar,pc1,2,7,all_three,KNN,0.2,0.2,0.8,mnar,0.0243,789,166,0.8992805755395683,0.5313960577118472,0.5357824427480916,0.8904147674227031,0.0750476649038756,0.10526315789473684
pc1__seed2__setting7__DecisionTree__mnar,pc1,2,7,all_three,DecisionTree,0.2,0.2,0.8,mnar,0.037,789,166,0.7589928057553957,0.553647632595001,0.5057187591221506,0.8111748957652604,0.06581173920239548,0.3157894736842105
pc1__seed2__setting7__RandomForest__mnar,pc1,2,7,all_three,RandomForest,0.2,0.2,0.8,mnar,0.7028,789,166,0.9280575539568345,0.5956106482422272,0.623917748917749,0.9158919617552711,0.27262491688856527,0.21052631578947367
pc1__seed2__setting7__ExtraTrees__mnar,pc1,2,7,all_three,ExtraTrees,0.2,0.2,0.8,mnar,0.5059,789,166,0.920863309352518,0.5429790692948588,0.5561683599419449,0.9034968831901098,0.13844587466832728,0.10526315789473684
pc1__seed2__setting7__HistGradientBoosting__mnar,pc1,2,7,all_three,HistGradientBoosting,0.2,0.2,0.8,mnar,0.4388,789,166,0.8561151079136691,0.5082300345458239,0.5063920454545454,0.8650823659254414,0.01451871136401913,0.10526315789473684
pc1__seed2__setting7__XGBoost__mnar,pc1,2,7,all_three,XGBoost,0.2,0.2,0.8,mnar,0.227,789,166,0.8848920863309353,0.5724446250762041,0.5689922480620155,0.8875467068205901,0.13835238122061333,0.21052631578947367
pc1__seed2__setting7__LightGBM__mnar,pc1,2,7,all_three,LightGBM,0.2,0.2,0.8,mnar,0.2289,789,166,0.8705035971223022,0.5647226173541964,0.5557528409090909,0.8785741293328974,0.1141780140602492,0.21052631578947367
