run_key,dataset_name,seed,setting_id,setting_name,model_name,variant,label_noise,missing_rate,imbalance_level,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
balance_scale__seed0__setting7__LogisticRegression__tuned,balance_scale,0,7,all_three,LogisticRegression,tuned,0.2,0.2,0.8,0.0324,252,94,0.7006369426751592,0.5068493150684931,0.47953712875178844,0.6641063980577769,0.526972582151474,0.0
balance_scale__seed0__setting7__RandomForest__default,balance_scale,0,7,all_three,RandomForest,default,0.2,0.2,0.8,0.5505,252,94,0.6242038216560509,0.4748224251648909,0.4637812841267617,0.6015804067579558,0.3718704039683794,0.08333333333333333
balance_scale__seed0__setting7__RandomForest__tuned,balance_scale,0,7,all_three,RandomForest,tuned,0.2,0.2,0.8,0.5639,252,94,0.6178343949044586,0.4473617453069508,0.4098039215686275,0.5671787186212064,0.38226106757946404,0.0
balance_scale__seed0__setting7__XGBoost__default,balance_scale,0,7,all_three,XGBoost,default,0.2,0.2,0.8,0.2975,252,94,0.6369426751592356,0.4838914256722475,0.4782290872107806,0.6140861014347,0.38076934394351003,0.08333333333333333
balance_scale__seed0__setting7__XGBoost__tuned,balance_scale,0,7,all_three,XGBoost,tuned,0.2,0.2,0.8,0.2073,252,94,0.6624203821656051,0.5022196854388635,0.49815270935960587,0.6417589658310063,0.4270186618876597,0.08333333333333333
balance_scale__seed0__setting7__LightGBM__default,balance_scale,0,7,all_three,LightGBM,default,0.2,0.2,0.8,0.189,252,94,0.6496815286624203,0.4929604261796043,0.49117790887619517,0.6289076185596709,0.3953421207816641,0.08333333333333333
balance_scale__seed0__setting7__LightGBM__tuned,balance_scale,0,7,all_three,LightGBM,tuned,0.2,0.2,0.8,0.1323,252,94,0.6624203821656051,0.5020928462709285,0.5007851755553492,0.6422341079283364,0.41372476795692786,0.08333333333333333
balance_scale__seed1__setting0__LogisticRegression__default,balance_scale,1,0,clean,LogisticRegression,default,0.0,0.0,natural,0.035,468,0,0.8726114649681529,0.6296296296296297,0.6055229436083036,0.8387812824258979,0.7786680136164635,0.0
balance_scale__seed1__setting0__LogisticRegression__tuned,balance_scale,1,0,clean,LogisticRegression,tuned,0.0,0.0,natural,0.0323,468,0,0.8789808917197452,0.6806189751395232,0.6966207082995405,0.8621589928763669,0.7905881515850136,0.16666666666666666
balance_scale__seed1__setting0__RandomForest__default,balance_scale,1,0,clean,RandomForest,default,0.0,0.0,natural,0.5684,468,0,0.8280254777070064,0.5975393201420599,0.5953664302600473,0.8248778063874961,0.6963096187825188,0.0
balance_scale__seed1__setting0__RandomForest__tuned,balance_scale,1,0,clean,RandomForest,tuned,0.0,0.0,natural,0.5402,468,0,0.8726114649681529,0.6297564687975646,0.6088246199480905,0.8434538021722651,0.7716847484859086,0.0
balance_scale__seed1__setting0__XGBoost__default,balance_scale,1,0,clean,XGBoost,default,0.0,0.0,natural,0.369,468,0,0.8535031847133758,0.6159944190766109,0.6034863363020476,0.8360952606752261,0.7369999391947241,0.0
balance_scale__seed1__setting0__XGBoost__tuned,balance_scale,1,0,clean,XGBoost,tuned,0.0,0.0,natural,0.2161,468,0,0.8980891719745223,0.6482115677321157,0.6287939833467634,0.8710871138438796,0.8180993584860593,0.0
balance_scale__seed1__setting0__LightGBM__default,balance_scale,1,0,clean,LightGBM,default,0.0,0.0,natural,0.3277,468,0,0.8598726114649682,0.620687468290208,0.6123040849068246,0.8483387846445172,0.7498390316329734,0.0
balance_scale__seed1__setting0__LightGBM__tuned,balance_scale,1,0,clean,LightGBM,tuned,0.0,0.0,natural,0.2144,468,0,0.8726114649681529,0.6298833079654997,0.6192314763743335,0.8579157605545232,0.7720503528829078,0.0
