run_key,experiment,dataset_name,seed,setting_id,model_name,label_noise,missing_rate,imbalance_level,corruption_order,noise_type,imputation_strategy,train_rows_after_corruption,test_rows,fit_eval_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall,auroc,auprc
xgb__adult__seed1__setting10__XGBoost,xgboost_full,adult,1,10,XGBoost,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean,14262,5000,0.3454,0.852,0.7319086756063851,0.7633726433194341,0.8389086388171191,0.5559625752384111,0.5016722408026756,0.9059066719067064,0.9674061207763326
xgb__adult__seed1__setting11__XGBoost,xgboost_full,adult,1,11,XGBoost,0.0,0.2,0.9,noise_then_imbalance,symmetric,mean,12678,5000,0.2225,0.8362,0.6707931977956666,0.7049238800888471,0.8075829867540005,0.4998077168213433,0.3536789297658863,0.8974394142409502,0.9639116715464062
xgb__adult__seed1__setting12__XGBoost,xgboost_full,adult,1,12,XGBoost,0.0,0.3,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2351,0.8496,0.7483884240844878,0.7715940234417428,0.8412174275703995,0.555993517444278,0.5543478260869565,0.9014483522009924,0.9665062503112856
xgb__adult__seed1__setting13__XGBoost,xgboost_full,adult,1,13,XGBoost,0.0,0.3,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.2365,0.8496,0.7406496945654811,0.7670878247390392,0.839396881553752,0.5523493358650038,0.5317725752508361,0.8949802883076782,0.9637487532507468
xgb__adult__seed1__setting14__XGBoost,xgboost_full,adult,1,14,XGBoost,0.0,0.3,0.8,noise_then_imbalance,symmetric,mean,14262,5000,0.2316,0.8438,0.7156280662144056,0.7467734692521063,0.828532820525291,0.5273740461117765,0.4698996655518395,0.8953077907782336,0.963967429984334
xgb__adult__seed1__setting15__XGBoost,xgboost_full,adult,1,15,XGBoost,0.0,0.3,0.9,noise_then_imbalance,symmetric,mean,12678,5000,0.2221,0.8254,0.6476447077359161,0.6763682302294909,0.790920206522296,0.4586208388081991,0.3068561872909699,0.8947524652803421,0.9630969306333876
xgb__adult__seed1__setting16__XGBoost,xgboost_full,adult,1,16,XGBoost,0.1,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2462,0.8678,0.7852854238980971,0.8049005556585657,0.8626820811402355,0.6167511901395459,0.6270903010033445,0.9175554292436408,0.9695894007843374
xgb__adult__seed1__setting17__XGBoost,xgboost_full,adult,1,17,XGBoost,0.1,0.0,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.2534,0.866,0.7826693605393372,0.8021778155706727,0.8607863567649281,0.6113367169173277,0.6229096989966555,0.91915876264731,0.97180285928939
xgb__adult__seed1__setting18__XGBoost,xgboost_full,adult,1,18,XGBoost,0.1,0.0,0.8,noise_then_imbalance,symmetric,mean,13307,5000,0.2418,0.8604,0.7331298861610205,0.7702522932639289,0.845317816625255,0.5831570477417757,0.4891304347826087,0.9203199677157295,0.9718328840666796
xgb__adult__seed1__setting19__XGBoost,xgboost_full,adult,1,19,XGBoost,0.1,0.0,0.9,noise_then_imbalance,symmetric,mean,11867,5000,0.2264,0.823,0.6323096793025472,0.6572549522012017,0.7815756552956123,0.4565997712301707,0.2667224080267558,0.9079866422952076,0.9669048702179996
xgb__adult__seed1__setting20__XGBoost,xgboost_full,adult,1,20,XGBoost,0.1,0.1,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2522,0.8594,0.7634276012927775,0.7873058697105344,0.8518958703271358,0.5867985554697018,0.5794314381270903,0.911044064688112,0.9686053085235788
xgb__adult__seed1__setting21__XGBoost,xgboost_full,adult,1,21,XGBoost,0.1,0.1,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.2582,0.8578,0.7577901627929059,0.783043524032278,0.8494710842788944,0.58042310838609,0.5660535117056856,0.9117576464133864,0.96937776049797
xgb__adult__seed1__setting22__XGBoost,xgboost_full,adult,1,22,XGBoost,0.1,0.1,0.8,noise_then_imbalance,symmetric,mean,13327,5000,0.2527,0.8464,0.7047255309496429,0.7402875665918911,0.826877437157707,0.5344473036960519,0.4331103678929766,0.904357299480568,0.9656543980559306
xgb__adult__seed1__setting23__XGBoost,xgboost_full,adult,1,23,XGBoost,0.1,0.1,0.9,noise_then_imbalance,symmetric,mean,11758,5000,0.2358,0.8142,0.6139150304731158,0.6314240623670161,0.7668059553936625,0.4206014004632132,0.229933110367893,0.9040341930163284,0.9655257283731372
xgb__adult__seed1__setting24__XGBoost,xgboost_full,adult,1,24,XGBoost,0.1,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2616,0.8548,0.7503727813356122,0.7766186288002217,0.8455493306558748,0.569750251876365,0.5501672240802675,0.9006810292985029,0.963967070006872
