combination,dataset_name,model_name,seed,label_noise,missing_rate,imbalance_level,metric,p_clean,actual_drop,expected_drop,interaction,bounded_interaction,relative_clean_interaction,pure_three_way_residual
noise_missing,kc2,LogisticRegression,3,0.2,0.2,natural,macro_f1,0.7356907720080705,0.03385999516492366,0.0008316365869311948,0.03302835857799247,0.03302835857799247,0.04370618221290088,
noise_imbalance,kc2,LogisticRegression,3,0.2,0.0,0.8,macro_f1,0.7356907720080705,0.06614122245852094,0.027822023999150458,0.038319198459370485,0.038319198459370485,0.050707511430298696,
missing_imbalance,kc2,LogisticRegression,3,0.0,0.2,0.8,macro_f1,0.7356907720080705,-0.036249832190598186,-0.026990387412219263,-0.009259444778378922,-0.009259444778378922,-0.012252954675857857,
all_three_excess_over_singles,kc2,LogisticRegression,3,0.2,0.2,0.8,macro_f1,0.7356907720080705,0.11492299353104096,0.0008316365869311948,0.11409135694410977,0.11409135694410977,0.15097624738878154,0.05200324468512574
noise_missing,kc2,LinearSVM,3,0.2,0.2,natural,macro_f1,0.7078687480089201,0.016419695269544787,-0.06522323329492274,0.08164292856446753,0.08164292856446753,0.11216710263739334,
noise_imbalance,kc2,LinearSVM,3,0.2,0.0,0.8,macro_f1,0.7078687480089201,0.029894313397317296,0.009362688030128963,0.020531625367188333,0.020531625367188333,0.02820786772801065,
missing_imbalance,kc2,LinearSVM,3,0.0,0.2,0.8,macro_f1,0.7078687480089201,-0.06407185618974864,-0.035038901497687736,-0.02903295469206091,-0.02903295469206091,-0.03988762365671057,
all_three_excess_over_singles,kc2,LinearSVM,3,0.2,0.2,0.8,macro_f1,0.7078687480089201,0.11344150342687676,-0.04544972338124076,0.1588912268081175,0.1588912268081175,0.21829653662526843,0.08574962756852256
noise_missing,kc2,KNN,3,0.2,0.2,natural,macro_f1,0.7516475580030695,0.14711925611627708,0.13154672407141166,0.015572532044865417,0.015572532044865417,0.020180886835390557,
noise_imbalance,kc2,KNN,3,0.2,0.0,0.8,macro_f1,0.7516475580030695,0.08209800845351989,0.11621156542421973,-0.03411355697069984,-0.03411355697069984,-0.04420872795733534,
missing_imbalance,kc2,KNN,3,0.0,0.2,0.8,macro_f1,0.7516475580030695,0.015956785994998945,0.015335158647191927,0.0006216273478070189,0.0006216273478070189,0.0008055845461569466,
all_three_excess_over_singles,kc2,KNN,3,0.2,0.2,0.8,macro_f1,0.7516475580030695,0.14861725497276645,0.13154672407141166,0.017070530901354797,0.017070530901354797,0.02212218612540065,0.034989928479382204
noise_missing,kc2,DecisionTree,3,0.2,0.2,natural,macro_f1,0.7033962264150944,0.16573759459110993,0.09734258289850994,0.06839501169259998,0.06839501169259998,0.09454709493238912,
noise_imbalance,kc2,DecisionTree,3,0.2,0.0,0.8,macro_f1,0.7033962264150944,-0.024362308963431056,0.030162831141604673,-0.05452514010503573,-0.05452514010503573,-0.07537382434968423,
missing_imbalance,kc2,DecisionTree,3,0.0,0.2,0.8,macro_f1,0.7033962264150944,0.05093580707405887,0.017745789492754183,0.03319001758130469,0.03319001758130469,0.0458808276423878,
all_three_excess_over_singles,kc2,DecisionTree,3,0.2,0.2,0.8,macro_f1,0.7033962264150944,0.1259768715763847,0.0726256017664344,0.05335126980995031,0.05335126980995031,0.07375110328449051,0.006291380641081368
noise_missing,kc2,RandomForest,3,0.2,0.2,natural,macro_f1,0.7449376947040498,0.03362218258370864,0.10854037506554393,-0.07491819248183529,-0.07491819248183529,-0.09794025448153751,
noise_imbalance,kc2,RandomForest,3,0.2,0.0,0.8,macro_f1,0.7449376947040498,0.028487478253833354,0.11746279028673301,-0.08897531203289966,-0.08897531203289966,-0.11631707085284078,
missing_imbalance,kc2,RandomForest,3,0.0,0.2,0.8,macro_f1,0.7449376947040498,-0.008748599209854158,-0.04209004583800091,0.033341446628146754,0.033341446628146754,0.04358714031088032,
all_three_excess_over_singles,kc2,RandomForest,3,0.2,0.2,0.8,macro_f1,0.7449376947040498,0.06125366572854096,0.09195655975713801,-0.03070289402859705,-0.03070289402859705,-0.04013777101215522,0.09984916385799114
noise_missing,kc2,ExtraTrees,3,0.2,0.2,natural,macro_f1,0.7866245089585129,0.1004119957842291,0.1637468978098734,-0.06333490202564429,-0.06333490202564429,-0.07851844485536429,
noise_imbalance,kc2,ExtraTrees,3,0.2,0.0,0.8,macro_f1,0.7866245089585129,0.11117405850806239,0.18050452912961423,-0.06933047062155184,-0.06933047062155184,-0.08595135636415148,
missing_imbalance,kc2,ExtraTrees,3,0.0,0.2,0.8,macro_f1,0.7866245089585129,0.050312109602635324,0.049118798769477,0.001193310833158323,0.001193310833158323,0.001479388265426111,
all_three_excess_over_singles,kc2,ExtraTrees,3,0.2,0.2,0.8,macro_f1,0.7866245089585129,0.13288001556644247,0.1966851128544823,-0.06380509728803985,-0.06380509728803985,-0.07910136200848013,0.06766696452599796
noise_missing,kc2,HistGradientBoosting,3,0.2,0.2,natural,macro_f1,0.7528301886792452,0.09870477613799111,0.10144662872647348,-0.002741852588482363,-0.002741852588482363,-0.003547807304432745,
noise_imbalance,kc2,HistGradientBoosting,3,0.2,0.0,0.8,macro_f1,0.7528301886792452,0.02597447558499999,0.16881952274757572,-0.14284504716257573,-0.14284504716257573,-0.1848336791898563,
missing_imbalance,kc2,HistGradientBoosting,3,0.0,0.2,0.8,macro_f1,0.7528301886792452,0.007892493975195425,-0.05042174442954783,0.05831423840474326,0.05831423840474326,0.07545543543582502,
all_three_excess_over_singles,kc2,HistGradientBoosting,3,0.2,0.2,0.8,macro_f1,0.7528301886792452,0.1547104459776124,0.10992220352225068,0.044788242455361726,0.044788242455361726,0.0579535363802288,0.13206090380167657
noise_missing,kc2,XGBoost,3,0.2,0.2,natural,macro_f1,0.744354613883468,0.11097012349798452,0.11725007410689536,-0.006279950608910845,-0.006279950608910845,-0.008216017140269757,
noise_imbalance,kc2,XGBoost,3,0.2,0.0,0.8,macro_f1,0.744354613883468,0.01904835629600532,0.15127548827414183,-0.13222713197813651,-0.13222713197813651,-0.17299186735634148,
missing_imbalance,kc2,XGBoost,3,0.0,0.2,0.8,macro_f1,0.744354613883468,-0.0005830808205817828,-0.01815320853310709,0.017570127712525307,0.017570127712525307,0.02298687990284574,
all_three_excess_over_singles,kc2,XGBoost,3,0.2,0.2,0.8,macro_f1,0.744354613883468,0.09858273581070498,0.12518617692396505,-0.026603441113260073,-0.026603441113260073,-0.03480510306347936,0.09433351376126198
noise_missing,kc2,LightGBM,3,0.2,0.2,natural,macro_f1,0.7279949444795522,0.06706148868928752,0.11569999621920013,-0.04863850752991261,-0.04863850752991261,-0.06502518217386459,
noise_imbalance,kc2,LightGBM,3,0.2,0.0,0.8,macro_f1,0.7279949444795522,-0.01711514256601876,0.17308627761247297,-0.19020142017849173,-0.19020142017849173,-0.2542816921186975,
missing_imbalance,kc2,LightGBM,3,0.0,0.2,0.8,macro_f1,0.7279949444795522,0.01667943235921099,-0.024027416674850866,0.040706849034061854,0.040706849034061854,0.05442128898663252,
all_three_excess_over_singles,kc2,LightGBM,3,0.2,0.2,0.8,macro_f1,0.7279949444795522,0.03160381767235654,0.13237942857841112,-0.10077561090605458,-0.10077561090605458,-0.13472766313437226,0.09735746776828791
noise_missing,kc2,LogisticRegression,4,0.2,0.2,natural,macro_f1,0.7182795698924731,0.058539310152213364,-0.0432502124226426,0.10178952257485596,0.10178952257485596,0.13787395280311104,
noise_imbalance,kc2,LogisticRegression,4,0.2,0.0,0.8,macro_f1,0.7182795698924731,0.15765005492859285,-0.03492274881739221,0.19257280374598507,0.19257280374598507,0.2608399468158551,
missing_imbalance,kc2,LogisticRegression,4,0.0,0.2,0.8,macro_f1,0.7182795698924731,0.03823284588270359,0.02914910737235643,0.009083738510347161,0.009083738510347161,0.012303927781274192,
